[INFO] Obtaining list of iovs for globaltag data_reprocessing_prompt [filter=KLMChannelStatus]
--------------------------------------------------------------------------------
Name                                            Rev  First  First  Final  Final
                                                     Exp    Run    Exp    Run
--------------------------------------------------------------------------------
KLMChannelStatus                                2145 10     5757   10     5757
KLMChannelStatus                                2146 10     5758   10     5817
KLMChannelStatus                                2147 10     5818   10     5818
KLMChannelStatus                                2148 10     5819   10     5820
KLMChannelStatus                                2149 10     5821   10     5822
KLMChannelStatus                                2150 10     5823   10     5825
KLMChannelStatus                                2151 10     5826   10     5826
KLMChannelStatus                                2152 10     5827   10     5829
KLMChannelStatus                                2153 10     5830   10     5833
KLMChannelStatus                                2154 10     5834   10     5834
KLMChannelStatus                                2155 10     5835   10     5884
KLMChannelStatus                                4    10     5885   10     5889
KLMChannelStatus                                2156 10     5890   10     5893
KLMChannelStatus                                2157 10     5894   10     5895
KLMChannelStatus                                2158 10     5896   10     5896
KLMChannelStatus                                2159 10     5897   10     5897
KLMChannelStatus                                2160 10     5898   10     5898
KLMChannelStatus                                2161 10     5899   10     5900
KLMChannelStatus                                2162 10     5901   10     5901
KLMChannelStatus                                2163 10     5902   10     6053
KLMChannelStatus                                2164 10     6054   10     6056
KLMChannelStatus                                2165 10     6057   10     6061
KLMChannelStatus                                2166 10     6062   10     6063
KLMChannelStatus                                2167 10     6064   10     6068
KLMChannelStatus                                2168 10     6069   10     6069
KLMChannelStatus                                2169 10     6070   10     6075
KLMChannelStatus                                2170 10     6076   10     6076
KLMChannelStatus                                2171 10     6077   10     6077
KLMChannelStatus                                2172 10     6078   10     6083
KLMChannelStatus                                2173 10     6084   10     6094
KLMChannelStatus                                2174 10     6095   10     6097
KLMChannelStatus                                2175 10     6098   10     6098
KLMChannelStatus                                2176 10     6099   10     6101
KLMChannelStatus                                2177 10     6102   10     6102
KLMChannelStatus                                2178 10     6103   10     6104
KLMChannelStatus                                2179 10     6105   10     6106
KLMChannelStatus                                2180 10     6107   10     6109
KLMChannelStatus                                2181 10     6110   11     -1
KLMChannelStatus                                2467 12     0      12     202
KLMChannelStatus                                2468 12     203    12     203
KLMChannelStatus                                2469 12     204    12     204
KLMChannelStatus                                2470 12     205    12     205
KLMChannelStatus                                2471 12     206    12     206
KLMChannelStatus                                2472 12     207    12     208
KLMChannelStatus                                2473 12     209    12     209
KLMChannelStatus                                2474 12     210    12     215
KLMChannelStatus                                2475 12     216    12     221
KLMChannelStatus                                2476 12     222    12     227
KLMChannelStatus                                2477 12     228    12     234
KLMChannelStatus                                2478 12     235    12     237
KLMChannelStatus                                2479 12     238    12     238
KLMChannelStatus                                2480 12     239    12     240
KLMChannelStatus                                2481 12     241    12     319
KLMChannelStatus                                2482 12     320    12     323
KLMChannelStatus                                2483 12     324    12     324
KLMChannelStatus                                2484 12     325    12     325
KLMChannelStatus                                2040 12     326    12     326
KLMChannelStatus                                2485 12     327    12     327
KLMChannelStatus                                2486 12     328    12     328
KLMChannelStatus                                2487 12     329    12     332
KLMChannelStatus                                2489 12     333    12     333
KLMChannelStatus                                2490 12     334    12     334
KLMChannelStatus                                2491 12     335    12     335
KLMChannelStatus                                2492 12     336    12     336
KLMChannelStatus                                2493 12     337    12     337
KLMChannelStatus                                2494 12     338    12     338
KLMChannelStatus                                2495 12     339    12     347
KLMChannelStatus                                2496 12     348    12     348
KLMChannelStatus                                2497 12     349    12     349
KLMChannelStatus                                2499 12     350    12     350
KLMChannelStatus                                2500 12     351    12     351
KLMChannelStatus                                2501 12     352    12     352
KLMChannelStatus                                2502 12     353    12     358
KLMChannelStatus                                2503 12     359    12     359
KLMChannelStatus                                2504 12     360    12     360
KLMChannelStatus                                2505 12     361    12     361
KLMChannelStatus                                2506 12     362    12     362
KLMChannelStatus                                2507 12     363    12     363
KLMChannelStatus                                2508 12     364    12     364
KLMChannelStatus                                2509 12     365    12     365
KLMChannelStatus                                2510 12     366    12     366
KLMChannelStatus                                4    12     367    12     503
KLMChannelStatus                                2511 12     504    12     504
KLMChannelStatus                                2512 12     505    12     640
KLMChannelStatus                                4    12     641    12     642
KLMChannelStatus                                2513 12     643    12     796
KLMChannelStatus                                2514 12     797    12     798
KLMChannelStatus                                2515 12     799    12     799
